,gen_logit_0,gen_logit_1,ref_logit_0,ref_logit_1
0,6.516912460327148,-6.0444231033325195,-6.732576370239258,6.188782691955566
1,-7.01711893081665,6.407667636871338,-7.336790084838867,6.7493438720703125
2,5.785533905029297,-5.498165130615234,7.402156829833984,-6.843891620635986
3,7.269628524780273,-6.721850872039795,6.086212158203125,-5.690108776092529
4,-7.101755142211914,6.4253129959106445,7.394583702087402,-6.835355758666992
5,-7.301824569702148,6.705859184265137,-7.339774131774902,6.741517066955566
6,-7.2690324783325195,6.664241790771484,7.386817932128906,-6.840070724487305
7,-7.313164710998535,6.722350120544434,-7.340961456298828,6.738802909851074
8,7.188987731933594,-6.6484694480896,-7.308836460113525,6.716838836669922
9,-4.912468433380127,4.72459602355957,-7.349331378936768,6.807719707489014
10,7.260501861572266,-6.71207332611084,-7.300448417663574,6.731631278991699
11,-7.16933012008667,6.6054768562316895,-7.308213233947754,6.717645645141602
12,7.413970947265625,-6.837784767150879,7.367719650268555,-6.814698219299316
13,7.327364921569824,-6.764864921569824,-7.196308135986328,6.612183570861816
14,7.251309394836426,-6.708616733551025,-7.300294876098633,6.74608039855957
15,7.418015956878662,-6.853630065917969,7.425370693206787,-6.860480308532715
16,7.391308784484863,-6.825380325317383,7.322587966918945,-6.754189491271973
17,7.391055107116699,-6.838123321533203,7.418670177459717,-6.866368770599365
18,7.386204719543457,-6.83034086227417,-7.314659595489502,6.718830585479736
19,-7.342205047607422,6.761115074157715,-7.324929237365723,6.762371063232422
20,7.398221969604492,-6.83450984954834,7.370643615722656,-6.812731742858887
21,6.752777576446533,-6.218352317810059,-7.293759346008301,6.696423530578613
22,-7.329685688018799,6.748641014099121,-7.336849212646484,6.771736145019531
23,4.114760398864746,-4.082309246063232,7.403154373168945,-6.852521896362305
24,7.373072624206543,-6.813841819763184,-7.302906036376953,6.768594741821289
25,7.271268844604492,-6.695481300354004,6.398371696472168,-5.920135498046875
26,-7.319391250610352,6.748724460601807,-7.33030891418457,6.747447967529297
27,-7.348955154418945,6.7880144119262695,-7.3192338943481445,6.729954719543457
28,-7.360742092132568,6.783770561218262,-7.3334527015686035,6.767809867858887
29,-3.208735942840576,3.4772331714630127,-7.3638811111450195,6.785057544708252
30,7.391234874725342,-6.823279857635498,-7.26802921295166,6.677257537841797
31,-7.323420524597168,6.763517379760742,7.418857574462891,-6.86927604675293
32,-7.3382568359375,6.766844749450684,6.177356719970703,-5.717306137084961
33,-7.352719306945801,6.760561943054199,-7.30180549621582,6.734994888305664
34,7.329495429992676,-6.785976886749268,7.416394233703613,-6.867126941680908
35,7.354291915893555,-6.812099456787109,-7.332878589630127,6.7947187423706055
36,7.373177528381348,-6.801975250244141,-7.277736186981201,6.709055423736572
37,-5.26087760925293,4.718713283538818,7.412825584411621,-6.865025520324707
38,7.409872055053711,-6.840745449066162,-7.2686309814453125,6.686697959899902
39,7.413646697998047,-6.85960578918457,-1.580107569694519,1.2542750835418701
40,7.374704360961914,-6.811301231384277,7.390539169311523,-6.848147392272949
41,7.3739013671875,-6.82843017578125,-7.31810188293457,6.7212934494018555
42,-7.243505001068115,6.6374711990356445,-7.358653545379639,6.753591537475586
43,-7.211545944213867,6.630762100219727,-7.273514747619629,6.68017578125
44,-7.356353282928467,6.771263122558594,-7.310422897338867,6.73029088973999
45,7.4064788818359375,-6.840392112731934,7.299699306488037,-6.746420860290527
46,-7.317566871643066,6.7692155838012695,-7.353708267211914,6.79664421081543
47,-7.345273971557617,6.747922897338867,-7.347447872161865,6.77550745010376
48,-7.113976955413818,6.56967830657959,5.537198066711426,-5.035846710205078
49,7.2371087074279785,-6.668764591217041,-7.310855865478516,6.749692916870117
50,-6.922179222106934,6.372821807861328,-7.285820484161377,6.716403007507324
51,7.408049583435059,-6.849076271057129,-7.336152076721191,6.7505388259887695
52,7.403710842132568,-6.837000846862793,7.410727024078369,-6.84889554977417
53,-7.370889663696289,6.7837090492248535,-7.301205158233643,6.750617504119873
54,7.392194747924805,-6.833599090576172,-7.354701995849609,6.774585723876953
55,7.414910316467285,-6.8604631423950195,-7.252354621887207,6.659073829650879
56,7.405910491943359,-6.845299243927002,-7.300698757171631,6.7100114822387695
57,-7.3344926834106445,6.784548282623291,7.376314163208008,-6.826419830322266
58,6.4938883781433105,-6.040027618408203,-7.307180404663086,6.737059593200684
59,-7.374712944030762,6.8042778968811035,-7.3223466873168945,6.72821044921875
60,-7.282634735107422,6.737009048461914,-7.37885856628418,6.825451850891113
61,-7.350961685180664,6.765781402587891,-7.355158805847168,6.793824672698975
62,-7.325626373291016,6.746377944946289,-7.270825386047363,6.666546821594238
63,7.391195297241211,-6.8461151123046875,-7.350021839141846,6.7901611328125
64,7.341927528381348,-6.792837142944336,6.878603935241699,-6.3561811447143555
65,-7.210028648376465,6.627676963806152,7.3872904777526855,-6.844966888427734
66,-7.298577308654785,6.697012901306152,-7.333812713623047,6.764939308166504
67,7.101491928100586,-6.553867816925049,7.4250383377075195,-6.855720520019531
68,-5.404679775238037,5.032062530517578,-7.327655792236328,6.768132209777832
69,7.39015007019043,-6.829161167144775,7.314302921295166,-6.756956100463867
70,7.424481391906738,-6.870419025421143,-7.191363334655762,6.635519981384277
71,-7.156590938568115,6.558405876159668,-7.302409648895264,6.7240800857543945
72,7.390146255493164,-6.839613437652588,7.349919319152832,-6.809785842895508
73,7.4099555015563965,-6.844649314880371,-7.319202423095703,6.74144172668457
74,7.411299228668213,-6.835538864135742,-7.27630615234375,6.6993865966796875
75,-7.328972339630127,6.739677429199219,-7.360387802124023,6.792791843414307
76,-7.327505111694336,6.730300426483154,-6.946321964263916,6.384307384490967
77,-6.842087268829346,6.222833633422852,-7.2140302658081055,6.619417190551758
78,-7.28147554397583,6.729048728942871,-7.326777935028076,6.771247863769531
79,-7.355077266693115,6.777592658996582,-7.367620468139648,6.795203685760498
80,5.033658027648926,-4.7597503662109375,7.372257232666016,-6.81589412689209
81,7.374457359313965,-6.815692901611328,-4.944614887237549,4.591864585876465
82,-7.009918212890625,6.465429306030273,-7.304451942443848,6.724967002868652
83,-4.907848358154297,4.588493347167969,-7.322837829589844,6.730733871459961
84,7.40138578414917,-6.842445373535156,7.420691967010498,-6.850433349609375
85,7.407957077026367,-6.840468406677246,5.705044269561768,-5.399576187133789
86,3.642998218536377,-3.7147998809814453,-7.259570121765137,6.67120361328125
87,-7.335217475891113,6.74703311920166,-7.3289570808410645,6.736261367797852
88,7.413148403167725,-6.842355728149414,-7.295626163482666,6.690226078033447
89,7.405492782592773,-6.844455718994141,-7.377809047698975,6.802806854248047
90,-6.298988342285156,5.62901496887207,7.398124694824219,-6.837630271911621
91,-7.346225738525391,6.778845310211182,7.410434722900391,-6.840287685394287
92,7.38826847076416,-6.828895568847656,7.3965044021606445,-6.8440327644348145
93,7.365965843200684,-6.799687385559082,7.426326751708984,-6.861908435821533
94,-7.321036338806152,6.732080459594727,-7.262731552124023,6.714900970458984
95,7.393989086151123,-6.84266471862793,7.239584922790527,-6.680695533752441
96,7.384725570678711,-6.812549591064453,7.251824378967285,-6.709204196929932
97,5.7363104820251465,-5.488105297088623,6.564624786376953,-6.072301387786865
98,-7.209044456481934,6.644439697265625,-7.354047775268555,6.761529922485352
99,7.370727062225342,-6.8087053298950195,-7.354760646820068,6.791591644287109
100,-7.324158668518066,6.752094268798828,7.2954936027526855,-6.763023376464844
101,7.332096576690674,-6.770810127258301,6.832851409912109,-6.344745635986328
102,7.093749523162842,-6.571000099182129,-7.365303039550781,6.801200866699219
103,7.411059379577637,-6.844121932983398,7.416007041931152,-6.845864295959473
104,-7.360297679901123,6.79813289642334,7.373834133148193,-6.8217854499816895
105,-3.9184341430664062,3.888091564178467,-7.294102668762207,6.780886173248291
106,-6.316524982452393,5.705061912536621,-7.333789825439453,6.7433037757873535
107,7.392099380493164,-6.824071884155273,-7.313292980194092,6.725323677062988
108,-7.363694667816162,6.798172473907471,-7.190225601196289,6.605975151062012
109,7.34164571762085,-6.778220176696777,-7.345667839050293,6.805794715881348
110,-7.325808048248291,6.730770587921143,5.304673194885254,-5.1877641677856445
111,-7.275635719299316,6.723214149475098,-7.345566749572754,6.748113632202148
112,-7.328227996826172,6.771297454833984,7.407689094543457,-6.842972755432129
113,7.404746055603027,-6.84068489074707,-7.340065956115723,6.761270523071289
114,-7.305898189544678,6.731155872344971,-7.36544132232666,6.7896647453308105
115,7.333370685577393,-6.778768062591553,-7.329478740692139,6.773951530456543
116,7.409192085266113,-6.851536750793457,7.373600006103516,-6.8212432861328125
117,-7.3069963455200195,6.7242841720581055,-7.315162181854248,6.769782066345215
118,7.408840656280518,-6.84527587890625,-7.378739356994629,6.8191728591918945
119,4.231252670288086,-4.054802417755127,-7.335536003112793,6.752843856811523
120,4.3685102462768555,-4.370795249938965,-7.371216297149658,6.799717903137207
121,-4.226296901702881,4.102599620819092,-7.253332614898682,6.726385593414307
122,-6.847171306610107,6.291716575622559,-7.3211517333984375,6.752676010131836
123,7.397335052490234,-6.858989715576172,7.4286041259765625,-6.870408535003662
124,-7.34536075592041,6.781650066375732,-6.7271199226379395,6.157371520996094
125,7.325355529785156,-6.775626182556152,7.3682541847229,-6.80742073059082
126,-7.2248759269714355,6.686931610107422,3.8464889526367188,-3.944763660430908
127,7.405525207519531,-6.845552921295166,-7.19355583190918,6.663003444671631
128,7.415239334106445,-6.854620933532715,-6.990018367767334,6.388474941253662
129,7.386256694793701,-6.823653697967529,7.405577659606934,-6.86151123046875
130,7.401601791381836,-6.828423976898193,-7.302601337432861,6.74373197555542
131,7.411583423614502,-6.8470458984375,6.477138519287109,-6.025890350341797
132,7.424868583679199,-6.8646135330200195,7.313333511352539,-6.764279365539551
